[2019-10-02T16:23:12,289] <main> WARN  system - reload system.properties failed: file not found
[2019-10-02T16:23:12,325] <main> WARN  system - reload system.properties.bk failed: file not found
[2019-10-02T16:23:24,804] <launcher-ui> INFO  launcher - Initializing UniFi Controller ...
[2019-10-02T16:23:24,970] <launcher-ui> ERROR launcher - Couldn't find com.apple.eawt.QuitHandler in jre.
[2019-10-02T16:23:26,295] <launcher-monitor> INFO  launcher - Starting UniFi Controller ...
[2019-10-02T16:26:56,430] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:27:06,433] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:27:16,434] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:27:26,435] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:27:36,441] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:27:46,444] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:27:56,449] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:28:06,454] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:28:16,457] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:28:26,463] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:28:36,467] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:28:46,470] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:28:56,474] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:29:06,479] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:29:16,481] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:29:26,486] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:29:36,491] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:29:46,494] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:29:56,497] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:30:06,507] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:30:16,502] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:30:26,508] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:30:36,512] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:30:46,542] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:30:56,520] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:31:06,525] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:31:16,529] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
[2019-10-02T16:31:26,534] <UniFi> ERROR system - [exec] error, rc=141, cmdline=[/Library/Java/JavaVirtualMachines/jdk-9.0.4.jdk/Contents/Home/bin/java, -Dfile.encoding=UTF-8, -Djava.awt.headless=true, -Dapple.awt.UIElement=true, -Xmx1024M, -XX:+ExitOnOutOfMemoryError, -XX:+CrashOnOutOfMemoryError, -XX:ErrorFile=/Users/teacher/Documents/c_files/gitrepo/logs/hs_err_pid%p.log, -jar, /Users/teacher/Documents/c_files/gitrepo/lib/ace.jar, start]
